Codigo,Categoria,Subcategoria,Articulo / Descripcion,Medida,Unidad de Venta,Cantidad por Caja/Paq,Precio Estimado (ARS),Precio (USD),Pagina del Catalogo
102079,GUANTES SINTETICOS,Tejido - Recubrimiento Látex,9 - DPS89154 - Par - 12,,,,3300,2.32,9
102080,GUANTES SINTETICOS,Tejido - Recubrimiento Látex,10 - DPS89155 - Par - 12,,,,3000,2.11,9
102081,GUANTES SINTETICOS,Tejido - Recubrimiento Látex,8 - DPS88113 - Par - 12,,,,3950,2.78,9
102082,GUANTES SINTETICOS,Tejido - Recubrimiento Látex,9 - DPS88114 - Par - 12,,,,3900,2.75,9
102083,GUANTES SINTETICOS,Tejido - Recubrimiento Látex,10 - DPS88115 - Par - 12,,,,3850,2.71,9
102088,PROTECCION DE LLUVIA,Cruzada Reflectiva,Protector Auditivo - x 100 Par Caja,,,,17000,11.97,11
102089,PROTECCION DE LLUVIA,Doble Faz,Protector Auditivo Copa,,c/u,,15600,10.99,11
102090,PROTECCION DE LLUVIA,,Descartable Transp,,c/u,50,20000,14.08,11
102091,PROTECCION DE LLUVIA,,Verde Premiun - M,,c/u,,20400,14.37,11
102092,PROTECCION DE LLUVIA,,Verde Premiun - L,,c/u,,15800,11.13,11
102093,PROTECCION DE LLUVIA,,Verde Premiun - XL,,c/u,,17900,12.61,11
102094,PROTECCION DE LLUVIA,,Verde Premiun - XXL,,c/u,,15700,11.06,11
102095,PROTECCION DE LLUVIA,,Verde Premiun - XXXL,,c/u,,19400,13.66,11
102096,ANTEOJOS,Ergonómica,Transparente - UCU411A,,c/u,12,5400,3.80,10
102100,PROTECCION DE LLUVIA,Doble Faz,8 Cms x 100 Mts,8 Cms x 100 Mts,Rollo,20,22600,15.92,11
102101,PROTECCION DE LLUVIA,Doble Faz,8 Cms x 200 Mts,8 Cms x 200 Mts,Rollo,20,23900,16.83,11
102310,PROTECCION DE LLUVIA,BOTAS,38 - Par - 4,,,,18300,12.89,12
102311,PROTECCION DE LLUVIA,BOTAS,39 - Par - 4,,,,16700,11.76,12
102312,PROTECCION DE LLUVIA,BOTAS,40 - Par - 4,,,,20000,14.08,12
102313,PROTECCION DE LLUVIA,BOTAS,41 - Par - 4,,,,17600,12.39,12
102314,PROTECCION DE LLUVIA,BOTAS,42 - Par - 4,,,,16400,11.55,12
102315,PROTECCION DE LLUVIA,BOTAS,43 - Par - 4,,,,18200,12.82,12
102316,PROTECCION DE LLUVIA,BOTAS,44 - Par - 4,,,,19200,13.52,12
